dataset_name,model_name,metric,category,direction,xai_method,median,rank,is_best,best_methods,interpretation
AHU21,MCD,RelativeInputStability,Robustness,lower,LIME,0.0015598010224178,2.0,False,SHAP,mayor estabilidad frente a cambios en la entrada
AHU21,MCD,RelativeInputStability,Robustness,lower,MAPLE,2.2379504221239026,3.0,False,SHAP,mayor estabilidad frente a cambios en la entrada
AHU21,MCD,RelativeInputStability,Robustness,lower,SHAP,0.0007328106367834,1.0,True,SHAP,mayor estabilidad frente a cambios en la entrada
AHU21,MCD,RelativeOutputStability,Robustness,lower,LIME,473473.26531867206,2.0,False,SHAP,mayor estabilidad relativa en la salida
AHU21,MCD,RelativeOutputStability,Robustness,lower,MAPLE,665831095.2623578,3.0,False,SHAP,mayor estabilidad relativa en la salida
AHU21,MCD,RelativeOutputStability,Robustness,lower,SHAP,113288.13184724678,1.0,True,SHAP,mayor estabilidad relativa en la salida
AHU21,MCD,Sparseness,Complexity,higher,LIME,0.8615913595037693,2.0,False,SHAP,atribuciones más concentradas
AHU21,MCD,Sparseness,Complexity,higher,MAPLE,0.813275978653845,3.0,False,SHAP,atribuciones más concentradas
AHU21,MCD,Sparseness,Complexity,higher,SHAP,0.8848599882560559,1.0,True,SHAP,atribuciones más concentradas
AHU21,MCD,Sufficiency,Faithfulness,higher,LIME,0.961901306240929,3.0,False,SHAP,mayor suficiencia
AHU21,MCD,Sufficiency,Faithfulness,higher,MAPLE,0.9661016949152542,2.0,False,SHAP,mayor suficiencia
AHU21,MCD,Sufficiency,Faithfulness,higher,SHAP,0.9666666666666668,1.0,True,SHAP,mayor suficiencia
AHU21,VAE,AvgSensitivity,Sensitivity,lower,LIME,1.0775788096181942,3.0,False,MAPLE,menor sensibilidad media
AHU21,VAE,AvgSensitivity,Sensitivity,lower,MAPLE,0.5100694799166983,1.0,True,MAPLE,menor sensibilidad media
AHU21,VAE,AvgSensitivity,Sensitivity,lower,SHAP,1.0235580274094795,2.0,False,MAPLE,menor sensibilidad media
AHU21,VAE,Completeness,Fidelity,higher,LIME,0.0,1.0,True,"LIME, MAPLE, SHAP",más completo
AHU21,VAE,Completeness,Fidelity,higher,MAPLE,0.0,1.0,True,"LIME, MAPLE, SHAP",más completo
AHU21,VAE,Completeness,Fidelity,higher,SHAP,0.0,1.0,True,"LIME, MAPLE, SHAP",más completo
AHU21,VAE,Complexity,Complexity,lower,LIME,2.4189522463290265,3.0,False,MAPLE,explicaciones menos complejas
AHU21,VAE,Complexity,Complexity,lower,MAPLE,1.643943925371313,1.0,True,MAPLE,explicaciones menos complejas
AHU21,VAE,Complexity,Complexity,lower,SHAP,2.2755011484998073,2.0,False,MAPLE,explicaciones menos complejas
AHU21,VAE,Consistency,Faithfulness,lower,LIME,0.999999999984127,2.0,False,MAPLE,mayor consistencia
